--time 1
--epoch 500
total images: 8189
epoch: 40, gen loss: 1.9512312412261963, disc loss: 1.4224900007247925, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 40, gen loss: 2.4308595657348633, disc loss: 1.426787257194519, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 41, gen loss: 2.6946916580200195, disc loss: 1.5058815479278564, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 41, gen loss: 2.290170907974243, disc loss: 1.4462532997131348, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 42, gen loss: 2.8965792655944824, disc loss: 1.3012462854385376, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 42, gen loss: 2.3855528831481934, disc loss: 1.422942042350769, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 43, gen loss: 2.285475254058838, disc loss: 1.271547794342041, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 43, gen loss: 2.470121145248413, disc loss: 1.3807576894760132, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 44, gen loss: 2.957505464553833, disc loss: 1.3484196662902832, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 44, gen loss: 2.3883180618286133, disc loss: 1.4238777160644531, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 45, gen loss: 2.6738855838775635, disc loss: 1.4389252662658691, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 45, gen loss: 2.6030266284942627, disc loss: 1.3923245668411255, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 46, gen loss: 2.7160086631774902, disc loss: 1.2177913188934326, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 46, gen loss: 2.471271514892578, disc loss: 1.3934649229049683, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 47, gen loss: 2.5792324542999268, disc loss: 1.4757293462753296, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 47, gen loss: 2.6362926959991455, disc loss: 1.3588497638702393, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 48, gen loss: 1.9507230520248413, disc loss: 1.3577293157577515, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 48, gen loss: 2.2197091579437256, disc loss: 1.4800783395767212, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 49, gen loss: 2.9711968898773193, disc loss: 1.2822515964508057, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 49, gen loss: 2.1138052940368652, disc loss: 1.4814714193344116, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 50, gen loss: 4.669177532196045, disc loss: 1.6156914234161377, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 50, gen loss: 2.4355645179748535, disc loss: 1.393503189086914, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 51, gen loss: 2.172177314758301, disc loss: 1.475493311882019, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 51, gen loss: 2.556795358657837, disc loss: 1.4284837245941162, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 52, gen loss: 2.3832366466522217, disc loss: 1.3035770654678345, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 52, gen loss: 2.4162328243255615, disc loss: 1.3889403343200684, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 53, gen loss: 2.9134321212768555, disc loss: 1.341049075126648, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 53, gen loss: 2.4702517986297607, disc loss: 1.359525442123413, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 54, gen loss: 1.8033748865127563, disc loss: 1.3977831602096558, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 54, gen loss: 2.6350207328796387, disc loss: 1.3567228317260742, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 55, gen loss: 2.1833832263946533, disc loss: 1.2641857862472534, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 55, gen loss: 2.627580404281616, disc loss: 1.349263310432434, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 56, gen loss: 3.0371575355529785, disc loss: 1.3529903888702393, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 56, gen loss: 2.7847280502319336, disc loss: 1.3291394710540771, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 57, gen loss: 2.8491382598876953, disc loss: 1.1782282590866089, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 57, gen loss: 2.75103759765625, disc loss: 1.2999918460845947, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 58, gen loss: 2.89575457572937, disc loss: 1.2211132049560547, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 58, gen loss: 2.551342010498047, disc loss: 1.3183865547180176, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 59, gen loss: 0.5606428980827332, disc loss: 2.1525843143463135, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 59, gen loss: 2.380293369293213, disc loss: 1.4109915494918823, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 60, gen loss: 0.7925794124603271, disc loss: 1.7919633388519287, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 60, gen loss: 2.4754691123962402, disc loss: 1.3489843606948853, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 61, gen loss: 2.802171230316162, disc loss: 1.14130437374115, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 61, gen loss: 2.7603487968444824, disc loss: 1.3285455703735352, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 62, gen loss: 2.617079496383667, disc loss: 1.0561294555664062, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 62, gen loss: 2.500994920730591, disc loss: 1.3056721687316895, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 63, gen loss: 2.9356915950775146, disc loss: 1.464892864227295, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 63, gen loss: 2.7020723819732666, disc loss: 1.2596676349639893, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 64, gen loss: 2.1816442012786865, disc loss: 1.1457107067108154, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 64, gen loss: 2.4854910373687744, disc loss: 1.2774324417114258, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 65, gen loss: 2.157999277114868, disc loss: 1.352362036705017, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 65, gen loss: 2.645251512527466, disc loss: 1.2420902252197266, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 66, gen loss: 1.743550181388855, disc loss: 1.282900094985962, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 66, gen loss: 2.845876455307007, disc loss: 1.2334116697311401, grad penalty: 0, real loss: 0, fake loss: 0
